Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
tristanthompson,Tristan Thompson,538,PF,30,IND,4,0,16.5,3.3,6.0,0.542,0.0,0.0,0.0,3.3,6.0,0.542,0.542,0.8,2.0,0.375,1.8,2.8,4.5,0.5,0.0,0.5,1.0,1.8,7.3,0.0,0.04878048780487805,272.25,53.29,0.8203568314327301,9.7209
tristanthompson,Tristan Thompson,538,PF,30,CHI,23,3,16.3,2.3,4.0,0.565,0.0,0.1,0.0,2.3,3.9,0.578,0.565,1.1,2.1,0.542,1.8,3.0,4.7,0.6,0.5,0.3,0.5,1.7,5.7,0.13043478260869565,0.2804878048780488,265.69,32.49,2.7271168186675636,9.7209
jtthor,JT Thor,539,PF,19,CHO,33,0,7.9,0.7,1.7,0.436,0.2,0.8,0.259,0.5,0.8,0.607,0.5,0.4,0.6,0.6,0.3,1.0,1.3,0.6,0.2,0.3,0.3,0.8,2.0,0.0,0.4024390243902439,62.410000000000004,4.0,2.9866025222180177,1.25
matissethybulle,Matisse Thybulle,540,SG,24,PHI,66,50,25.5,2.3,4.5,0.5,0.7,2.2,0.313,1.6,2.4,0.673,0.575,0.5,0.7,0.791,0.6,1.7,2.3,1.1,1.7,1.1,0.6,2.4,5.7,0.7575757575757576,0.8048780487804879,650.25,32.49,6.101974377738036,2.84016
killiantillie,Killian Tillie,541,C,23,MEM,36,3,12.8,1.2,3.5,0.339,0.8,2.4,0.314,0.4,1.1,0.39,0.445,0.1,0.2,0.625,0.6,1.1,1.7,0.6,0.6,0.4,0.4,1.6,3.3,0.08333333333333333,0.43902439024390244,163.84000000000003,10.889999999999999,1.9836061388911501,
xaviertillmansr,Xavier Tillman Sr,542,PF,23,MEM,53,2,13.2,1.8,4.1,0.454,0.2,0.9,0.204,1.7,3.2,0.527,0.477,0.9,1.3,0.648,1.2,1.8,3.0,1.2,0.9,0.3,0.6,1.2,4.8,0.03773584905660377,0.6463414634146342,174.23999999999998,23.04,3.394179680173446,1.517981
isaiahtodd,Isaiah Todd,543,PF,20,WAS,12,0,6.2,0.6,2.2,0.269,0.3,1.3,0.25,0.3,0.8,0.3,0.346,0.2,0.5,0.333,0.3,0.8,1.0,0.3,0.3,0.2,0.3,0.3,1.7,0.0,0.14634146341463414,38.440000000000005,2.8899999999999997,2.3769721478160264,1.5
obitoppin,Obi Toppin,544,PF,23,NYK,72,10,17.1,3.5,6.6,0.531,0.7,2.3,0.308,2.8,4.2,0.655,0.586,1.3,1.7,0.758,1.0,2.8,3.7,1.1,0.3,0.5,0.8,1.4,9.0,0.1388888888888889,0.8780487804878049,292.41,81.0,4.99653505912506,5.10516
juantoscanoanderson,Juan Toscano-Anderson,545,SF,28,GSW,73,6,13.6,1.6,3.2,0.489,0.4,1.2,0.322,1.2,2.0,0.588,0.549,0.5,1.0,0.571,0.4,2.0,2.4,1.7,0.7,0.2,0.9,1.6,4.1,0.0821917808219178,0.8902439024390244,184.95999999999998,16.81,3.700827172822631,1.701593
karlanthonytowns,Karl-Anthony Towns,546,C,26,MIN,74,74,33.5,8.7,16.4,0.529,2.0,4.9,0.41,6.6,11.5,0.58,0.591,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6,24.6,1.0,0.9024390243902439,1122.25,605.1600000000001,29.975689105751076,31.61
